"Team","year","num_all_stars","lagged"
"Clippers",2010,1,0
"Clippers",2011,1,1
"Clippers",2012,2,1
"Clippers",2013,2,2
"Clippers",2014,2,2
"Clippers",2015,2,2
"Clippers",2016,1,2
"Clippers",2017,1,1
"Clippers",2018,0,1
"Clippers",2019,0,0
"Clippers",2020,1,0
"Clippers",2021,2,1
"Clippers",2022,0,2
"Clippers",2023,1,0
"Lakers",2003,2,NA
"Lakers",2004,2,2
"Lakers",2005,1,2
"Lakers",2006,1,1
"Lakers",2007,1,1
"Lakers",2008,1,1
"Lakers",2009,2,1
"Lakers",2010,2,2
"Lakers",2011,2,2
"Lakers",2012,2,2
"Lakers",2013,2,2
"Lakers",2014,1,2
"Lakers",2015,1,1
"Lakers",2016,1,1
"Lakers",2017,0,1
"Lakers",2018,0,0
"Lakers",2019,1,0
"Lakers",2020,2,1
"Lakers",2021,2,2
"Lakers",2022,1,2
"Lakers",2023,1,1
"Grizzlies",2003,0,NA
"Grizzlies",2004,0,0
"Grizzlies",2005,0,0
"Grizzlies",2006,1,0
"Grizzlies",2007,0,1
"Grizzlies",2008,0,0
"Grizzlies",2009,0,0
"Grizzlies",2010,1,0
"Grizzlies",2011,0,1
"Grizzlies",2012,1,0
"Grizzlies",2013,1,1
"Grizzlies",2014,0,1
"Grizzlies",2015,1,0
"Grizzlies",2016,0,1
"Grizzlies",2017,1,0
"Grizzlies",2018,0,1
"Grizzlies",2019,0,0
"Grizzlies",2020,0,0
"Grizzlies",2021,0,0
"Grizzlies",2022,1,0
"Grizzlies",2023,2,1
"Heat",2003,0,NA
"Heat",2004,0,0
"Heat",2005,2,0
"Heat",2006,2,2
"Heat",2007,2,2
"Heat",2008,1,2
"Heat",2009,1,1
"Heat",2010,1,1
"Heat",2011,3,1
"Heat",2012,3,3
"Heat",2013,3,3
"Heat",2014,3,3
"Heat",2015,2,3
"Heat",2016,2,2
"Heat",2017,0,2
"Heat",2018,1,0
"Heat",2019,1,1
"Heat",2020,2,1
"Heat",2021,0,2
"Heat",2022,1,0
"Heat",2023,1,1
"Bucks",2003,0,NA
"Bucks",2004,1,0
"Bucks",2005,0,1
"Bucks",2006,0,0
"Bucks",2007,0,0
"Bucks",2008,0,0
"Bucks",2009,0,0
"Bucks",2010,0,0
"Bucks",2011,0,0
"Bucks",2012,0,0
"Bucks",2013,0,0
"Bucks",2014,0,0
"Bucks",2015,0,0
"Bucks",2016,0,0
"Bucks",2017,1,0
"Bucks",2018,1,1
"Bucks",2019,2,1
"Bucks",2020,2,2
"Bucks",2021,1,2
"Bucks",2022,2,1
"Bucks",2023,2,2
"Timberwolves",2003,1,NA
"Timberwolves",2004,2,1
"Timberwolves",2005,1,2
"Timberwolves",2006,1,1
"Timberwolves",2007,1,1
"Timberwolves",2008,0,1
"Timberwolves",2009,0,0
"Timberwolves",2010,0,0
"Timberwolves",2011,1,0
"Timberwolves",2012,1,1
"Timberwolves",2013,0,1
"Timberwolves",2014,1,0
"Timberwolves",2015,0,1
"Timberwolves",2016,0,0
"Timberwolves",2017,0,0
"Timberwolves",2018,2,0
"Timberwolves",2019,1,2
"Timberwolves",2020,0,1
"Timberwolves",2021,0,0
"Timberwolves",2022,1,0
"Timberwolves",2023,1,1
"Pelicans",2003,0,NA
"Pelicans",2004,0,0
"Pelicans",2005,0,0
"Pelicans",2006,0,0
"Pelicans",2007,0,0
"Pelicans",2008,0,0
"Pelicans",2009,0,0
"Pelicans",2010,0,0
"Pelicans",2011,0,0
"Pelicans",2012,0,0
"Pelicans",2013,0,0
"Pelicans",2014,1,0
"Pelicans",2015,1,1
"Pelicans",2016,1,1
"Pelicans",2017,1,1
"Pelicans",2018,2,1
"Pelicans",2019,1,2
"Pelicans",2020,1,1
"Pelicans",2021,1,1
"Pelicans",2022,0,1
"Pelicans",2023,1,0
"Knicks",2003,0,NA
"Knicks",2004,0,0
"Knicks",2005,0,0
"Knicks",2006,0,0
"Knicks",2007,0,0
"Knicks",2008,0,0
"Knicks",2009,0,0
"Knicks",2010,1,0
"Knicks",2011,1,1
"Knicks",2012,1,1
"Knicks",2013,2,1
"Knicks",2014,1,2
"Knicks",2015,1,1
"Knicks",2016,1,1
"Knicks",2017,1,1
"Knicks",2018,1,1
"Knicks",2019,0,1
"Knicks",2020,0,0
"Knicks",2021,1,0
"Knicks",2022,0,1
"Knicks",2023,1,0
"Thunder",2003,0,NA
"Thunder",2004,0,0
"Thunder",2005,0,0
"Thunder",2006,0,0
"Thunder",2007,0,0
"Thunder",2008,0,0
"Thunder",2009,0,0
"Thunder",2010,1,0
"Thunder",2011,2,1
"Thunder",2012,2,2
"Thunder",2013,2,2
"Thunder",2014,1,2
"Thunder",2015,2,1
"Thunder",2016,2,2
"Thunder",2017,1,2
"Thunder",2018,2,1
"Thunder",2019,2,2
"Thunder",2020,1,2
"Thunder",2021,0,1
"Thunder",2022,0,0
"Thunder",2023,1,0
"Magic",2003,1,NA
"Magic",2004,1,1
"Magic",2005,1,1
"Magic",2006,0,1
"Magic",2007,1,0
"Magic",2008,1,1
"Magic",2009,3,1
"Magic",2010,1,3
"Magic",2011,1,1
"Magic",2012,1,1
"Magic",2013,0,1
"Magic",2014,0,0
"Magic",2015,0,0
"Magic",2016,0,0
"Magic",2017,0,0
"Magic",2018,0,0
"Magic",2019,1,0
"Magic",2020,0,1
"Magic",2021,1,0
"Magic",2022,0,1
"Magic",2023,0,0
"76ers",2003,1,NA
"76ers",2004,1,1
"76ers",2005,1,1
"76ers",2006,1,1
"76ers",2007,0,1
"76ers",2008,0,0
"76ers",2009,0,0
"76ers",2010,1,0
"76ers",2011,0,1
"76ers",2012,1,0
"76ers",2013,1,1
"76ers",2014,0,1
"76ers",2015,0,0
"76ers",2016,0,0
"76ers",2017,0,0
"76ers",2018,1,0
"76ers",2019,2,1
"76ers",2020,2,2
"76ers",2021,2,2
"76ers",2022,2,2
"76ers",2023,1,2
"Suns",2003,2,NA
"Suns",2004,0,2
"Suns",2005,3,0
"Suns",2006,2,3
"Suns",2007,3,2
"Suns",2008,2,3
"Suns",2009,2,2
"Suns",2010,2,2
"Suns",2011,0,2
"Suns",2012,1,0
"Suns",2013,0,1
"Suns",2014,0,0
"Suns",2015,0,0
"Suns",2016,0,0
"Suns",2017,0,0
"Suns",2018,0,0
"Suns",2019,0,0
"Suns",2020,1,0
"Suns",2021,2,1
"Suns",2022,2,2
"Suns",2023,1,2
"Blazers",2003,0,NA
"Blazers",2004,0,0
"Blazers",2005,0,0
"Blazers",2006,0,0
"Blazers",2007,0,0
"Blazers",2008,1,0
"Blazers",2009,1,1
"Blazers",2010,1,1
"Blazers",2011,0,1
"Blazers",2012,1,0
"Blazers",2013,1,1
"Blazers",2014,2,1
"Blazers",2015,2,2
"Blazers",2016,0,2
"Blazers",2017,0,0
"Blazers",2018,1,0
"Blazers",2019,1,1
"Blazers",2020,1,1
"Blazers",2021,1,1
"Blazers",2022,0,1
"Blazers",2023,1,0
"Kings",2003,2,NA
"Kings",2004,2,2
"Kings",2005,0,2
"Kings",2006,0,0
"Kings",2007,0,0
"Kings",2008,0,0
"Kings",2009,0,0
"Kings",2010,0,0
"Kings",2011,0,0
"Kings",2012,0,0
"Kings",2013,0,0
"Kings",2014,0,0
"Kings",2015,1,0
"Kings",2016,1,1
"Kings",2017,1,1
"Kings",2018,0,1
"Kings",2019,0,0
"Kings",2020,0,0
"Kings",2021,0,0
"Kings",2022,0,0
"Kings",2023,2,0
"Spurs",2003,1,NA
"Spurs",2004,1,1
"Spurs",2005,2,1
"Spurs",2006,2,2
"Spurs",2007,2,2
"Spurs",2008,1,2
"Spurs",2009,2,1
"Spurs",2010,1,2
"Spurs",2011,2,1
"Spurs",2012,1,2
"Spurs",2013,2,1
"Spurs",2014,1,2
"Spurs",2015,1,1
"Spurs",2016,2,1
"Spurs",2017,1,2
"Spurs",2018,1,1
"Spurs",2019,1,1
"Spurs",2020,0,1
"Spurs",2021,0,0
"Spurs",2022,1,0
"Spurs",2023,0,1
"SuperSonics",2003,1,NA
"SuperSonics",2004,1,1
"SuperSonics",2005,2,1
"SuperSonics",2006,1,2
"SuperSonics",2007,1,1
"SuperSonics",2008,0,1
"SuperSonics",2009,0,0
"SuperSonics",2010,0,0
"SuperSonics",2011,0,0
"SuperSonics",2012,0,0
"SuperSonics",2013,0,0
"SuperSonics",2014,0,0
"SuperSonics",2015,0,0
"SuperSonics",2016,0,0
"SuperSonics",2017,0,0
"SuperSonics",2018,0,0
"SuperSonics",2019,0,0
"SuperSonics",2020,0,0
"SuperSonics",2021,0,0
"SuperSonics",2022,0,0
"SuperSonics",2023,0,0
"Raptors",2003,1,NA
"Raptors",2004,1,1
"Raptors",2005,0,1
"Raptors",2006,1,0
"Raptors",2007,1,1
"Raptors",2008,1,1
"Raptors",2009,1,1
"Raptors",2010,1,1
"Raptors",2011,0,1
"Raptors",2012,0,0
"Raptors",2013,0,0
"Raptors",2014,1,0
"Raptors",2015,1,1
"Raptors",2016,2,1
"Raptors",2017,2,2
"Raptors",2018,2,2
"Raptors",2019,2,2
"Raptors",2020,2,2
"Raptors",2021,0,2
"Raptors",2022,1,0
"Raptors",2023,1,1
"Jazz",2003,0,NA
"Jazz",2004,1,0
"Jazz",2005,0,1
"Jazz",2006,0,0
"Jazz",2007,2,0
"Jazz",2008,1,2
"Jazz",2009,0,1
"Jazz",2010,1,0
"Jazz",2011,1,1
"Jazz",2012,0,1
"Jazz",2013,0,0
"Jazz",2014,0,0
"Jazz",2015,0,0
"Jazz",2016,0,0
"Jazz",2017,1,0
"Jazz",2018,0,1
"Jazz",2019,0,0
"Jazz",2020,2,0
"Jazz",2021,3,2
"Jazz",2022,2,3
"Jazz",2023,1,2
"Wizards",2003,1,NA
"Wizards",2004,0,1
"Wizards",2005,2,0
"Wizards",2006,1,2
"Wizards",2007,2,1
"Wizards",2008,2,2
"Wizards",2009,0,2
"Wizards",2010,0,0
"Wizards",2011,0,0
"Wizards",2012,0,0
"Wizards",2013,0,0
"Wizards",2014,1,0
"Wizards",2015,1,1
"Wizards",2016,1,1
"Wizards",2017,1,1
"Wizards",2018,2,1
"Wizards",2019,1,2
"Wizards",2020,0,1
"Wizards",2021,1,0
"Wizards",2022,0,1
"Wizards",2023,0,0
