"Team","PCT","year"
"Pelicans",88.4,2012
"Hornets",77.4,2012
"Bucks",78.6,2012
"Kings",83.8,2012
"Pistons",65.3,2012
"Pacers",78,2012
"Nets",75.5,2012
"Bulls",104.6,2013
"Mavericks",104.4,2013
"Heat",102,2013
"Blazers",102,2013
"Warriors",107.3,2013
"Clippers",100.9,2013
"Knicks",96.3,2013
"Lakers",99.6,2013
"Jazz",93.8,2013
"Celtics",100,2013
"Spurs",99.2,2013
"Thunder",100,2013
"Raptors",91.6,2013
"Nuggets",93,2013
"Magic",93.4,2013
"Nets",94.9,2013
"76ers",82.2,2013
"Rockets",92.4,2013
"Grizzlies",91.8,2013
"Wizards",80.6,2013
"Timberwolves",84.4,2013
"Cavaliers",83.3,2013
"Suns",83.8,2013
"Hornets",80.3,2013
"Pacers",84.1,2013
"Hawks",80.8,2013
"Bucks",86.7,2013
"Pistons",72.7,2013
"Pelicans",81.8,2013
"Kings",79.4,2013
"Bulls",103.8,2014
"Mavericks",103.9,2014
"Knicks",100,2014
"Heat",100.9,2014
"Blazers",95,2014
"Warriors",100,2014
"Clippers",100.8,2014
"Lakers",98.8,2014
"Spurs",99.1,2014
"Raptors",92.2,2014
"Thunder",100,2014
"Jazz",91.3,2014
"Rockets",100.4,2014
"Celtics",97.2,2014
"Pacers",97.6,2014
"Cavaliers",84.3,2014
"Nets",95.3,2014
"Wizards",84,2014
"Nuggets",88.2,2014
"Grizzlies",92.3,2014
"Pelicans",95.4,2014
"Kings",94.1,2014
"Magic",86.2,2014
"Suns",86.2,2014
"Hornets",81.3,2014
"Pistons",68,2014
"Timberwolves",75.2,2014
"Hawks",76.6,2014
"76ers",68.2,2014
"Bucks",72.1,2014
"Bulls",102,2015
"Cavaliers",100,2015
"Mavericks",105.1,2015
"Knicks",100,2015
"Raptors",99.8,2015
"Heat",100.6,2015
"Warriors",100,2015
"Blazers",94,2015
"Clippers",100.6,2015
"Jazz",94.6,2015
"Lakers",98.3,2015
"Spurs",100.1,2015
"Wizards",89.9,2015
"Rockets",101,2015
"Thunder",100,2015
"Celtics",94.5,2015
"Hawks",93,2015
"Grizzlies",95.6,2015
"Hornets",90.1,2015
"Nets",94.1,2015
"Suns",91.9,2015
"Pacers",92.8,2015
"Magic",89.1,2015
"Pelicans",97,2015
"Kings",95.8,2015
"Pistons",69.2,2015
"Bucks",79.6,2015
"Nuggets",76.7,2015
"Timberwolves",75.1,2015
"76ers",68.6,2015
"Bulls",104.3,2016
"Cavaliers",100,2016
"Mavericks",104.9,2016
"Raptors",100.1,2016
"Knicks",100,2016
"Heat",100.7,2016
"Warriors",100,2016
"Blazers",99.6,2016
"Jazz",97,2016
"Clippers",100.7,2016
"Lakers",99.7,2016
"Spurs",99.3,2016
"Celtics",98.1,2016
"Thunder",100,2016
"Rockets",99.7,2016
"Wizards",87.3,2016
"Magic",93.1,2016
"Hornets",91.7,2016
"Kings",99.7,2016
"Suns",92.9,2016
"Pacers",92.7,2016
"Hawks",89.9,2016
"Pelicans",97.7,2016
"Grizzlies",92.2,2016
"Pistons",74.8,2016
"Bucks",81,2016
"Nets",83.6,2016
"76ers",73.2,2016
"Timberwolves",73.2,2016
"Nuggets",73.6,2016
"Bulls",103.6,2017
"Cavaliers",100,2017
"Raptors",100.2,2017
"Mavericks",103.1,2017
"Knicks",99.8,2017
"Jazz",98.8,2017
"Heat",100.2,2017
"Warriors",100,2017
"Blazers",99.4,2017
"Clippers",100.1,2017
"Lakers",99.4,2017
"Celtics",99.6,2017
"Spurs",99.2,2017
"Thunder",100,2017
"Magic",94.2,2017
"Kings",100.6,2017
"Hornets",90.9,2017
"76ers",85.3,2017
"Suns",93.8,2017
"Wizards",83.8,2017
"Rockets",94.1,2017
"Pacers",91.9,2017
"Grizzlies",91.2,2017
"Pelicans",94.1,2017
"Pistons",72.4,2017
"Hawks",85.2,2017
"Bucks",84.6,2017
"Nets",85.2,2017
"Timberwolves",76.5,2017
"Nuggets",77.1,2017
"Bulls",99.3,2018
"Cavaliers",100,2018
"76ers",100,2018
"Raptors",100.2,2018
"Mavericks",103.1,2018
"Heat",100.2,2018
"Warriors",100,2018
"Blazers",99.8,2018
"Knicks",97.6,2018
"Lakers",99.3,2018
"Celtics",100,2018
"Spurs",99,2018
"Thunder",100,2018
"Wizards",88.6,2018
"Jazz",90,2018
"Rockets",99.2,2018
"Magic",94.9,2018
"Kings",100.3,2018
"Pistons",82.9,2018
"Nuggets",89.5,2018
"Timberwolves",89.9,2018
"Clippers",89.3,2018
"Suns",91.6,2018
"Bucks",89.3,2018
"Pelicans",95.6,2018
"Hornets",85.8,2018
"Pacers",88.4,2018
"Grizzlies",88,2018
"Nets",87.7,2018
"Hawks",76.9,2018
"76ers",100.6,2019
"Bulls",96,2019
"Mavericks",104.2,2019
"Raptors",100.1,2019
"Heat",100.2,2019
"Warriors",108.5,2019
"Blazers",100.3,2019
"Cavaliers",99.6,2019
"Knicks",95.9,2019
"Lakers",99.7,2019
"Celtics",100,2019
"Nuggets",94.5,2019
"Spurs",98.5,2019
"Jazz",100,2019
"Thunder",100,2019
"Rockets",100.1,2019
"Bucks",101.5,2019
"Magic",93.2,2019
"Wizards",86.2,2019
"Clippers",90.9,2019
"Kings",97.7,2019
"Pacers",92.6,2019
"Hornets",86.5,2019
"Pistons",78.5,2019
"Pelicans",93.1,2019
"Grizzlies",86,2019
"Hawks",81.8,2019
"Timberwolves",80.7,2019
"Suns",83,2019
"Nets",84.3,2019
"76ers",102.4,2020
"Mavericks",104.5,2020
"Raptors",100,2020
"Heat",100.4,2020
"Blazers",101,2020
"Nuggets",98.3,2020
"Celtics",102.5,2020
"Clippers",100,2020
"Lakers",99.6,2020
"Knicks",95,2020
"Bulls",89.9,2020
"Spurs",100,2020
"Jazz",100,2020
"Thunder",100,2020
"Rockets",100.1,2020
"Warriors",100,2020
"Cavaliers",91.7,2020
"Bucks",102.1,2020
"Magic",90.7,2020
"Kings",95.5,2020
"Wizards",80.8,2020
"Pacers",92.2,2020
"Pelicans",97.9,2020
"Nets",92.5,2020
"Hawks",95,2020
"Grizzlies",86.2,2020
"Suns",87.1,2020
"Pistons",75.9,2020
"Hornets",80.9,2020
"Timberwolves",79.4,2020
"Jazz",24.3,2021
"76ers",18.1,2021
"Suns",20.6,2021
"Mavericks",19,2021
"Nuggets",18.6,2021
"Magic",19.3,2021
"Bulls",16.3,2021
"Hornets",17.9,2021
"Rockets",18,2021
"Spurs",16.6,2021
"Warriors",16.8,2021
"Cavaliers",15.2,2021
"Wizards",12.9,2021
"Bucks",14.9,2021
"Pelicans",15.3,2021
"Raptors",11.9,2021
"Lakers",12.2,2021
"Celtics",12.1,2021
"Hawks",13,2021
"Grizzlies",11.9,2021
"Blazers",10,2021
"Knicks",8.9,2021
"Clippers",9.1,2021
"Nets",8.6,2021
"Timberwolves",7.6,2021
"Pistons",3.2,2021
"Bulls",99.8,2022
"76ers",98.4,2022
"Mavericks",102.8,2022
"Heat",100.1,2022
"Celtics",100,2022
"Raptors",95.3,2022
"Lakers",97.8,2022
"Knicks",94,2022
"Cavaliers",95.2,2022
"Jazz",100,2022
"Warriors",100,2022
"Bucks",100.6,2022
"Nets",97.9,2022
"Blazers",88.5,2022
"Hornets",89.6,2022
"Nuggets",86.9,2022
"Clippers",88.8,2022
"Suns",91.8,2022
"Hawks",97.2,2022
"Pistons",79.6,2022
"Timberwolves",84.5,2022
"Grizzlies",85.7,2022
"Rockets",86.3,2022
"Wizards",75.4,2022
"Pelicans",92,2022
"Magic",80.6,2022
"Spurs",81.8,2022
"Thunder",81.7,2022
"Kings",82.1,2022
"Pacers",80.1,2022
"Bulls",98.1,2023
"76ers",97.5,2023
"Mavericks",105.1,2023
"Raptors",99.9,2023
"Heat",100.4,2023
"Cavaliers",100,2023
"Knicks",97.9,2023
"Nuggets",98.5,2023
"Celtics",100,2023
"Blazers",96.3,2023
"Lakers",97.6,2023
"Pistons",91.1,2023
"Jazz",100,2023
"Warriors",100,2023
"Magic",94.3,2023
"Nets",99.6,2023
"Clippers",92.2,2023
"Hawks",104,2023
"Bucks",101.1,2023
"Kings",99.1,2023
"Wizards",84.1,2023
"Grizzlies",93.8,2023
"Hornets",89.8,2023
"Suns",100,2023
"Spurs",92.3,2023
"Pelicans",99.4,2023
"Timberwolves",88.4,2023
"Rockets",90.4,2023
"Pacers",87.3,2023
"Thunder",85.3,2023
